City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,natal,-5.795,-35.2094,28.36,78,20,4.63,BR,1707778776
314,ouesso,1.6136,16.0517,28.9,35,94,0.42,CG,1707778776
315,ulladulla,-35.35,150.4667,27.68,52,0,3.38,AU,1707778777
316,tara,56.8944,74.371,-26.88,100,98,1.64,RU,1707778778
317,kokopo,-4.352,152.2633,27.03,76,100,3.14,PG,1707778779
318,mpwapwa,-6.35,36.4833,19.58,96,100,1.37,TZ,1707778780
319,chonchi,-42.6128,-73.8092,15.62,48,22,1.8,CL,1707778780
320,cascais,38.6979,-9.4215,17.64,97,99,9.83,PT,1707778781
321,howrah,22.5892,88.3103,18.0,88,40,0.0,IN,1707778782
322,port blair,11.6667,92.75,27.02,78,40,5.14,IN,1707778782
323,berezovyy,51.6667,135.7,-14.82,94,100,1.03,RU,1707778783
324,balkanabat,39.5108,54.3671,13.9,31,18,2.91,TM,1707778784
325,sirjan,29.452,55.6814,6.78,56,0,1.28,IR,1707778784
326,charters towers,-20.1,146.2667,27.27,66,2,4.17,AU,1707778786
327,puerto san jose,13.9256,-90.8244,29.33,58,2,3.73,GT,1707778787
328,poronaysk,49.2167,143.1167,-9.41,92,97,1.58,RU,1707778787
329,castillos,-34.1667,-53.8333,22.41,93,100,3.65,UY,1707778788
330,viseu,40.661,-7.9097,12.07,98,100,1.52,PT,1707778789
331,chernyshevskiy,63.0128,112.4714,-34.32,100,96,1.13,RU,1707778789
332,ispas,48.2973,25.2741,7.89,93,100,3.85,UA,1707778790
333,sao joao da barra,-21.6403,-41.0511,27.05,87,30,6.58,BR,1707778791
334,salinopolis,-0.6136,-47.3561,26.61,84,94,5.05,BR,1707778791
335,moog,8.6011,124.4658,23.71,73,83,1.5,PH,1707778792
336,tofol,5.3248,163.0078,27.88,94,100,5.66,FM,1707778793
337,rio grande,-32.035,-52.0986,29.06,95,82,3.13,BR,1707778562
338,orangeville,43.9168,-80.0997,1.35,60,6,1.06,CA,1707778794
339,wad medani,14.4012,33.5199,25.2,23,48,4.58,SD,1707778794
340,flying fish cove,-10.4217,105.6791,24.82,94,4,1.54,CX,1707778795
341,dakingari,11.6451,4.0605,28.7,11,27,3.57,NG,1707778796
342,tirmiz,37.2242,67.2783,7.05,65,0,2.06,UZ,1707778797
343,pike road,32.2843,-86.103,20.2,88,100,2.24,US,1707778798
344,vuokatti,64.146,28.2697,-27.08,100,83,1.4,FI,1707778798
345,brisas de zicatela,15.8369,-97.0419,29.22,59,7,2.99,MX,1707778800
346,muhlhausen,51.2167,10.45,4.67,94,72,2.43,DE,1707778801
347,yigo village,13.5361,144.8886,27.08,71,20,9.77,GU,1707778804
348,dholka,22.7167,72.4667,18.21,30,100,3.45,IN,1707778807
349,sekong,-6.3996,106.0252,23.62,90,52,0.38,ID,1707778809
350,kuhmo,64.1333,29.5167,-24.01,100,100,1.83,FI,1707778812
351,kruisfontein,-34.0033,24.7314,19.38,57,0,4.45,ZA,1707778814
352,gondar,12.6,37.4667,15.94,24,8,1.61,ET,1707778815
353,palmares do sul,-30.2578,-50.5097,26.37,77,79,1.51,BR,1707778816
354,mbanza kongo,-6.267,14.2401,22.7,96,99,1.54,AO,1707778686
355,dergachi,51.2328,48.7659,0.96,98,100,7.1,RU,1707778818
356,sola,-13.8833,167.55,27.59,72,98,4.4,VU,1707778819
357,fortuna,40.5982,-124.1573,14.4,82,0,1.79,US,1707778820
358,goure,13.9835,10.2704,21.87,10,0,4.04,NE,1707778821
359,lesnikovo,55.2822,65.3175,-17.98,97,77,3.67,RU,1707778823
360,az zulfi,26.2995,44.8154,13.02,66,2,3.04,SA,1707778824
361,kimberley,-28.7323,24.7623,26.22,32,57,4.58,ZA,1707778825
